AS Lab # ,Spec or Tag #,Site,Unit/Project,Provenience/Location A,Provenience/Location B,Phase,Genus,Species,Element,Side,δ13C apatite-VPDB (‰),δ18O apatite-VSMOW (‰),C/P,IR-SF,Notes
AS-0315,A-1224.001,Moon Pyramid,Structure 2,Tunel,LII-LIII,Patlachique-Tlamimilolpa ,Lepus,,Femur,R,-9.1,29.9,,,
AS-0321,A-1955.002,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,R,-8.9,29.2,0.30,2.80,
AS-0322,A-1985.002,Moon Pyramid,Structure 1,Tunel 3,LXXIX y LXXX,Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,L,-10.6,27.3,0.21,3.04,
AS-0323,A-1592.001,Moon Pyramid,Structure 1,Tunel 3,LVI y LXXIX,Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,,-8.8,24.8,0.18,3.06,
AS-0324,A-1917.001,Moon Pyramid,Structure 1,Tunel 3,LXXIX y LXXX,Patlachique-Tlamimilolpa ,Lepus,,Femur,L,-5.8,27.1,0.15,3.17,
AS-0325,A-1955.001,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,,-8.9,28.5,0.20,3.02,
AS-0326,A-1962.001,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Lepus,,Femur,L,-6.4,25.4,0.15,3.09,
AS-0327,A-1962.002,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,R,-9.2,26.1,0.11,3.09,
AS-0328,A-1962.003,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,L,-9.9,27.6,,,
AS-0329,A-1962.004,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,R,-10.3,27.3,0.20,2.78,
AS-0330,A-1962.004,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,R,-11.2,29.2,0.25,2.81,
AS-0331,A-1962.005,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,L,-7.8,26.9,0.13,3.08,
AS-0332,A-1962.006,Moon Pyramid,Structure 1,Tunel 3,"LXXIX, LXXX",Patlachique-Tlamimilolpa ,Sylvilagus,,Humerus,,-7.8,28.3,0.17,2.82,
AS-0333,A-1985.001,Moon Pyramid,Structure 1,Tunel 3,LXXIX y LXXX,Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,,-6.4,26.8,0.15,3.05,
